KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
ATL-LAC-01/28/2023,ATL,ATL vs. LAC,01/28/2023,L,12.0,28,12,24,0.5,2,7,0.286,2,2,1.0,2,12,14,8,1.0,3,1,2,6.0,LAC,LAC @ ATL,01/28/2023,W,12.0,22,9,23,0.391,4,10,0.4,0,1,0.0,1,9,10,4,3.0,0,0,3,-6.0
ORL-CHI-01/28/2023,ORL,ORL vs. CHI,01/28/2023,L,12.0,19,8,25,0.32,0,7,0.0,3,5,0.6,4,9,13,4,4.0,3,0,4,-6.0,CHI,CHI @ ORL,01/28/2023,W,12.0,25,9,20,0.45,2,7,0.286,5,5,1.0,2,13,15,5,5.0,1,2,4,6.0
NOP-WAS-01/28/2023,NOP,NOP vs. WAS,01/28/2023,L,12.0,30,12,22,0.545,3,8,0.375,3,4,0.75,0,10,10,6,2.0,1,3,5,-2.0,WAS,WAS @ NOP,01/28/2023,W,12.0,32,13,29,0.448,4,12,0.333,2,3,0.667,6,10,16,6,2.0,1,1,2,2.0
BOS-LAL-01/28/2023,BOS,BOS vs. LAL,01/28/2023,W,12.0,28,10,20,0.5,3,11,0.273,5,8,0.625,2,10,12,6,2.0,2,3,4,1.0,LAL,LAL @ BOS,01/28/2023,L,12.0,27,11,25,0.44,2,10,0.2,3,3,1.0,1,8,9,7,3.0,1,0,4,-1.0
IND-MIL-01/27/2023,IND,IND vs. MIL,01/27/2023,L,12.0,30,11,24,0.458,5,11,0.455,3,4,0.75,2,6,8,7,2.0,1,1,3,-15.0,MIL,MIL @ IND,01/27/2023,W,12.0,45,16,27,0.593,9,16,0.563,4,5,0.8,4,11,15,11,2.0,1,0,3,15.0
MIN-MEM-01/27/2023,MIN,MIN vs. MEM,01/27/2023,W,12.0,38,15,26,0.577,5,10,0.5,3,5,0.6,2,8,10,12,1.0,3,1,4,7.0,MEM,MEM @ MIN,01/27/2023,L,12.0,31,12,21,0.571,4,9,0.444,3,4,0.75,1,9,10,8,5.0,1,0,3,-7.0
MIA-ORL-01/27/2023,MIA,MIA vs. ORL,01/27/2023,W,12.0,26,10,24,0.417,1,7,0.143,5,5,1.0,1,6,7,10,2.0,4,0,3,-5.0,ORL,ORL @ MIA,01/27/2023,L,12.0,31,12,18,0.667,3,5,0.6,4,5,0.8,1,12,13,5,6.0,1,2,3,5.0
GSW-TOR-01/27/2023,GSW,GSW vs. TOR,01/27/2023,W,12.0,34,15,27,0.556,3,11,0.273,1,1,1.0,0,11,11,13,2.0,3,0,5,-2.0,TOR,TOR @ GSW,01/27/2023,L,12.0,36,14,28,0.5,5,7,0.714,3,5,0.6,3,12,15,7,3.0,1,0,3,2.0
OKC-CLE-01/27/2023,OKC,OKC vs. CLE,01/27/2023,W,12.0,27,9,19,0.474,1,2,0.5,8,9,0.889,6,8,14,4,5.0,1,0,2,2.0,CLE,CLE @ OKC,01/27/2023,L,12.0,25,11,24,0.458,0,8,0.0,3,3,1.0,3,4,7,10,2.0,5,4,7,-2.0
LAC-SAS-01/26/2023,LAC,LAC vs. SAS,01/26/2023,W,12.0,41,16,24,0.667,4,10,0.4,5,6,0.833,2,8,10,7,1.0,4,1,4,16.0,SAS,SAS @ LAC,01/26/2023,L,12.0,25,9,19,0.474,2,5,0.4,5,8,0.625,3,6,9,4,4.0,0,0,6,-16.0
